time.ofweek-gps[ms],pos.enu-e[m],pos.enu-n[m],pos.enu-u[m],pos.rmse-e[m],pos.rmse-n[m],pos.rmse-u[m],spd.horiz[m/s],spd.course[deg],ori.yaw[rad],ori.pitch[rad],ori.roll[rad],pos.flags2[-],pos.latitude[deg],pos.longitude[deg],pos.height[m],pos.svs-used[-],spd.vert[m/s],ori.flags[-],ori.svs-used[-],ori.mode[-],ori.range[m],ori.var-yaw[rad^2],ori.var-pitch[rad^2],ori.var-roll[rad^2],ori.var-range[m^2]
312152480,NaN,NaN,NaN,0.0064,0.0151,0.0207,0.253,3.3254,2.9499,-0.0303,0.0000,7,49.2274360,16.5749842,328.544,9,-0.430,22,9,3,0.996,0.00002,0.00014,0.00000,0.0001
312152500,NaN,NaN,NaN,0.0064,0.0151,0.0207,0.021,3.7219,2.9508,-0.0276,0.0000,7,49.2274360,16.5749842,328.544,9,0.008,22,9,3,0.997,0.00002,0.00014,0.00000,0.0001
312152520,NaN,NaN,NaN,0.0064,0.0151,0.0207,0.226,6.0059,2.9517,-0.0255,0.0000,7,49.2274360,16.5749842,328.547,9,0.188,22,9,3,0.995,0.00002,0.00014,0.00000,0.0001
312152540,NaN,NaN,NaN,0.0064,0.0151,0.0207,0.204,2.8036,2.9506,-0.0265,0.0000,7,49.2274360,16.5749842,328.543,9,-0.322,22,9,3,0.994,0.00002,0.00014,0.00000,0.0001
312152560,NaN,NaN,NaN,0.0064,0.0151,0.0207,0.154,0.1118,2.9486,-0.0285,0.0000,7,49.2274360,16.5749842,328.543,9,0.236,22,9,3,0.993,0.00003,0.00014,0.00000,0.0001
312152580,NaN,NaN,NaN,0.0061,0.0146,0.0196,0.090,0.2628,2.9491,-0.0257,0.0000,7,49.2274360,16.5749841,328.542,9,0.118,22,9,3,0.992,0.00003,0.00014,0.00000,0.0001
312152600,NaN,NaN,NaN,0.0061,0.0146,0.0196,0.014,3.6105,2.9494,-0.0239,0.0000,7,49.2274360,16.5749841,328.543,9,0.013,22,9,3,0.993,0.00003,0.00014,0.00000,0.0001
312152620,NaN,NaN,NaN,0.0061,0.0146,0.0196,0.048,0.5278,2.9484,-0.0236,0.0000,7,49.2274360,16.5749842,328.541,9,-0.012,22,9,3,0.991,0.00003,0.00014,0.00000,0.0001
312152640,NaN,NaN,NaN,0.0061,0.0146,0.0196,0.132,3.5524,2.9505,-0.0268,0.0000,7,49.2274360,16.5749841,328.541,9,-0.049,22,9,3,0.994,0.00002,0.00014,0.00000,0.0001
312152660,NaN,NaN,NaN,0.0061,0.0146,0.0196,0.069,5.5254,2.9488,-0.0271,0.0000,7,49.2274360,16.5749841,328.538,9,-0.226,22,9,3,0.994,0.00003,0.00014,0.00000,0.0001
312152680,NaN,NaN,NaN,0.0061,0.0146,0.0196,0.073,1.7451,2.9504,-0.0281,0.0000,7,49.2274360,16.5749841,328.537,9,-0.015,22,9,3,0.992,0.00003,0.00014,0.00000,0.0001
312152700,NaN,NaN,NaN,0.0061,0.0146,0.0196,0.050,3.4029,2.9522,-0.0268,0.0000,7,49.2274360,16.5749841,328.539,9,0.023,22,9,3,0.992,0.00003,0.00014,0.00000,0.0001
312152720,NaN,NaN,NaN,0.0061,0.0146,0.0196,0.132,2.7436,2.9499,-0.0264,0.0000,7,49.2274360,16.5749841,328.538,9,-0.105,22,9,3,0.992,0.00003,0.00014,0.00000,0.0001
312152740,NaN,NaN,NaN,0.0061,0.0146,0.0196,0.055,5.2393,2.9507,-0.0261,0.0000,7,49.2274360,16.5749841,328.537,9,-0.171,22,9,3,0.992,0.00003,0.00014,0.00000,0.0001
312152760,NaN,NaN,NaN,0.0061,0.0146,0.0196,0.164,0.9555,2.9473,-0.0258,0.0000,7,49.2274360,16.5749842,328.537,9,0.102,22,9,3,0.991,0.00003,0.00014,0.00000,0.0001
312152780,NaN,NaN,NaN,0.0061,0.0146,0.0196,0.109,5.5391,2.9501,-0.0243,0.0000,7,49.2274360,16.5749841,328.540,9,0.208,22,9,3,0.992,0.00003,0.00014,0.00000,0.0001
